,reaction_id,rxn_smiles,DG_TS
43,49,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][s:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][s:14]1,22.0
44,50,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][s:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][s:12][cH:13]1,28.9
45,51,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][s:13][n:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14][s:13]1,21.9
46,52,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][s:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][s:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],25.6
47,53,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[s:7][n:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[s:7][n:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],22.4
48,54,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][s:12][n:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][s:12][n:13]1,27.6
49,55,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][s:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][n:12][s:13]1,24.1
50,56,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[s:13][n:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[s:13][n:14]1,25.2
51,57,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][n:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][n:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14],25.2
52,58,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][n:13][s:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14][n:13]1,23.0
53,59,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[s:11][n:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:11][n:12][cH:13]1,28.4
54,60,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1,24.9
55,61,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1,19.9
56,62,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][o:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14][cH:13]1,22.9
57,63,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][o:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[cH:12][n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14]1,19.3
58,64,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][o:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][o:14]1,19.8
59,65,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[o:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[o:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],19.9
60,66,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][o:12][cH:13][n:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[o:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14]1,18.3
61,67,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][o:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][cH:12][o:13]1,20.8
62,68,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1,19.3
63,69,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14],23.5
64,70,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][cH:13][o:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[n:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14]1,19.3
65,71,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[o:11][cH:12][n:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:11][cH:12][n:13]1,25.4
66,72,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][o:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][o:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],27.9
